sepal length,sepal width,petal length,abnormality,generality,proximity,obtainability
5.1,3.3,s,0.64,0.3503017875773039,1.1574074074074079,1
7.7,3.8,p,0.47000000000000003,0.2649204265159302,0.4259259259259259,2
7.9,3.8,p,0.47000000000000003,0.2649204265159302,0.5,2
5.1,2.5,s,0.65,0.3379066626187718,0.222222222222222,1
5.1,2.3,p,0.5,0.3380351420857668,1.175925925925926,2
5.1,2.2,s,0.56,0.31589501494933503,0.5555555555555554,1
6.3,4.0,s,0.74,0.2050600228783498,1.8981481481481506,1
4.8,3.3,s,0.64,0.3503017875773039,1.4907407407407411,1
6.5,4.0,p,0.66,0.2216921678342263,1.7777777777777792,2
5.6,3.3,s,0.8200000000000001,0.3713326646368643,0.6759259259259264,1
